trajectory_id,family,dimension,rtol,decision_accepted_step,target_attempt_index,target_accepted_steps_before,t_start,h,target_r_error_norm,zeta23,zeta34,relative_drift,stage_log_curvature_kappa234,remainder_chi34,rho2,rho3,rho4,audit_full_e_total_error,audit_full_e_locally_admissible,unsafe,actual_prefix_jvp_vectors
nonautonomous-stiff-forcing-n96,nonautonomous-stiff-forcing,96,3e-06,102,110,103,0.5097046804024012,0.0014832464247377805,0.12118444706866886,10.315159980914716,15.836317018209604,0.21112218776322894,-0.024969945172804264,0.9999601524108606,104.49195513320927,407.5888690651089,1273.8919939414209,0.11430440641375975,True,False,19
nonautonomous-stiff-forcing-n96,nonautonomous-stiff-forcing,96,3e-06,130,138,131,0.5586495332468878,0.0020825590147125848,0.09952851639374476,9.799446432630921,14.89098967990312,0.20621520106270982,-0.024184806851336393,0.9999742447510475,116.35717221766471,454.2701022182685,1421.5050719311707,0.07321395432798009,True,False,17
nonautonomous-stiff-forcing-n96,nonautonomous-stiff-forcing,96,3e-06,159,167,160,0.6445274476435227,0.004043489317754781,0.10227849189088556,43.920017548001724,65.38832617409473,0.1964013715245164,-0.01614619502481851,0.9999552257489154,357.3811357037849,1405.4500629075635,4446.146390840005,0.19282179673747088,True,False,17
nonautonomous-stiff-forcing-n96,nonautonomous-stiff-forcing,96,3e-06,183,191,184,0.7594125506557751,0.004824449602724354,0.1739237527797696,67.38057336136913,107.65712954840637,0.23010217523134485,-0.010408712558467759,0.9999403319527387,515.728532491376,2043.0394112732165,6525.283323208292,0.26043356031223575,True,False,14
nonautonomous-stiff-forcing-n96,nonautonomous-stiff-forcing,96,3e-06,224,232,225,0.9698026102563019,0.004884918102383785,0.17980850008401775,72.42996282653874,116.13912290133877,0.23179388024332023,-0.010243321318949672,0.9999381209011275,531.230878611705,2104.8387785371933,6724.368016480591,0.26586188109279474,True,False,14
robertson-ramped-n256,robertson-ramped,256,3e-05,14,17,15,0.05618652946856745,0.00621040466738395,0.0005248339762460173,3.5882301795891007,4.600461072345212,0.12361326878907596,-0.10043478169750464,0.9999999968978323,2.448242868898692,8.876442994685478,24.94347920348244,0.04486950120967954,True,False,21
robertson-ramped-n96,robertson-ramped,96,3e-06,7,9,8,0.010392888877781148,0.002481120643203186,0.005545372056666945,0.14468063459312844,0.3206007230736222,0.3780939974957977,0.04466088171208238,0.9999931517156233,0.43017185097568317,1.7543032120356958,5.931653993483624,0.02157318069048089,True,False,19
robertson-ramped-n96,robertson-ramped,96,3e-06,21,24,22,0.06440187214370843,0.005988494210101368,0.008552781175550686,6.606121363560271,8.754571940929326,0.13986677129613087,-0.10351294854283255,0.9999999999784122,4.675111100148025,17.015609087634846,47.884711185527934,0.0821195549740648,True,False,23
rotating-nonnormal-n256,rotating-nonnormal,256,3e-05,7,9,8,0.24229086462023972,0.024994283910937668,0.18348608540735986,0.5510496055717043,0.9098848125380208,0.24562033895443877,-0.013938208082517889,0.9999610121110399,3.7226125787411863,14.750828735247795,47.02555020492761,0.03956481139374672,True,False,19
rotating-nonnormal-n256,rotating-nonnormal,256,3e-05,20,23,21,0.489846817380506,0.012185335063621508,0.19742159594157546,3.743708174795744,4.797140727228753,0.12334049747482444,-0.00486500594583239,0.9996755334771052,8.478934507178936,33.02158733646273,104.29451504268191,0.4382889212983995,True,False,19
rotating-nonnormal-n256,rotating-nonnormal,256,3e-05,36,39,37,0.6588994415849827,0.007570593132070694,0.15544136889872998,0.5816897224283852,0.7253141072139279,0.10988826622248554,-0.02185960280573629,0.9999952511475898,6.775730783355593,26.21718631434282,81.52940911471757,0.224564093252489,True,False,21
